 INFO  Accepting connections at http://localhost:64405
 HTTP  20.05.2026 00:09:01 ::1 GET /images/scrin-4.png
 HTTP  20.05.2026 00:09:01 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:09:01 ::1 GET /images/scrin-5.png
 HTTP  20.05.2026 00:09:01 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:09:01 ::1 GET /images/scrin-1.png
 HTTP  20.05.2026 00:09:01 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:09:01 ::1 GET /js/main.js
 HTTP  20.05.2026 00:09:01 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:09:01 ::1 GET /images/demo.mp4
 HTTP  20.05.2026 00:09:01 ::1 Returned 206 in 1 ms
 HTTP  20.05.2026 00:09:01 ::1 GET /images/demo.mp4
 HTTP  20.05.2026 00:09:01 ::1 Returned 206 in 0 ms
 HTTP  20.05.2026 00:09:01 ::1 GET /images/demo.mp4
 HTTP  20.05.2026 00:09:01 ::1 Returned 206 in 1 ms
 HTTP  20.05.2026 00:09:04 ::1 GET /team
 HTTP  20.05.2026 00:09:04 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:09:04 ::1 GET /css/style.css
 HTTP  20.05.2026 00:09:04 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:09:04 ::1 GET /js/main.js
 HTTP  20.05.2026 00:09:04 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:09:22 ::1 GET /resources
 HTTP  20.05.2026 00:09:22 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:09:22 ::1 GET /css/style.css
 HTTP  20.05.2026 00:09:22 ::1 GET /js/main.js
 HTTP  20.05.2026 00:09:22 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:09:22 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:39 ::1 GET /
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:39 ::1 GET /css/style.css
 HTTP  20.05.2026 00:28:39 ::1 GET /images/scrin-1.png
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:39 ::1 GET /images/scrin-2.png
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:28:39 ::1 Returned 200 in 2 ms
 HTTP  20.05.2026 00:28:39 ::1 GET /images/scrin-3.png
 HTTP  20.05.2026 00:28:39 ::1 GET /images/scrin-4.png
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:39 ::1 GET /js/main.js
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:39 ::1 GET /images/scrin-5.png
 HTTP  20.05.2026 00:28:39 ::1 GET /images/reductor.png
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:28:39 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /about
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /css/style.css
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /images/scrin-2.png
 HTTP  20.05.2026 00:28:48 ::1 GET /images/scrin-3.png
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 2 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /images/scrin-4.png
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 2 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /images/scrin-5.png
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /js/main.js
 HTTP  20.05.2026 00:28:48 ::1 GET /images/scrin-1.png
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /images/demo.mp4
 HTTP  20.05.2026 00:28:48 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 Returned 206 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /images/demo.mp4
 HTTP  20.05.2026 00:28:48 ::1 Returned 206 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /images/demo.mp4
 HTTP  20.05.2026 00:28:48 ::1 Returned 206 in 1 ms
 HTTP  20.05.2026 00:28:48 ::1 GET /images/demo.mp4
 HTTP  20.05.2026 00:28:48 ::1 Returned 206 in 1 ms
 HTTP  20.05.2026 00:29:17 ::1 GET /
 HTTP  20.05.2026 00:29:17 ::1 Returned 200 in 1 ms
 HTTP  20.05.2026 00:29:17 ::1 GET /css/style.css
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:17 ::1 GET /images/scrin-1.png
 HTTP  20.05.2026 00:29:17 ::1 GET /images/scrin-2.png
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:29:17 ::1 GET /images/scrin-3.png
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 2 ms
 HTTP  20.05.2026 00:29:17 ::1 GET /images/scrin-4.png
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:29:17 ::1 GET /js/main.js
 HTTP  20.05.2026 00:29:17 ::1 GET /images/scrin-5.png
 HTTP  20.05.2026 00:29:17 ::1 GET /images/reductor.png
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:29:17 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:29:19 ::1 GET /
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:19 ::1 GET /css/style.css
 HTTP  20.05.2026 00:29:19 ::1 GET /images/scrin-1.png
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:29:19 ::1 GET /images/scrin-2.png
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:19 ::1 GET /images/scrin-3.png
 HTTP  20.05.2026 00:29:19 ::1 GET /images/scrin-4.png
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:19 ::1 GET /js/main.js
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:29:19 ::1 GET /images/scrin-5.png
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:29:19 ::1 GET /images/reductor.png
 HTTP  20.05.2026 00:29:19 ::1 Returned 304 in 0 ms
 HTTP  20.05.2026 00:31:41 ::1 GET /
 HTTP  20.05.2026 00:31:41 ::1 Returned 304 in 1 ms
 HTTP  20.05.2026 00:31:41 ::1 GET /css/style.css
 HTTP  20.05.2026 00:31:41 ::1 GET /images/scrin-1.png
 HTTP  20.05.2026 00:31:41 ::1 Returned 304 in 1 ms
